,en,ar,correction
90,"Applied Horticulture/Horticulture Operations, General",البستنة التطبيقية/عمليات البستنة، عام,
91,Apr,أبريل,
92,Arbitrator,حكم,
93,Architect,معماري,
94,Architectural And Engineering Manager,مدير الهندسة المعمارية,
95,Architectural Drafter,رسام معماري,
96,Architecture,هندسة العمارة,
97,Archivist,مؤرشِف,
98,Arm-Hand Steadiness,ثبات الذراع واليد,
99,Art Director,مخرج فني,
100,"Art History, Criticism and Conservation",تاريخ الفن والنقد والحفظ,
101,"Art/Art Studies, General",الآداب/الدراسات الأدبية، عام,
102,"Artist, Performer, And Athlete Agent",وكيل فنان، وممثل، وفنان,
103,Artistic,فني,
104,Arts and Humanities,الآداب والإنسانيات,
105,"Arts, Entertainment, and Recreation",الفنون والترفيه والترويح,
106,Assisting and Caring for Others,مساعدة الآخرين والاهتمام بهم,
107,Astronomer,عالم فلك,
108,Astronomy,علم الفلك,
109,Athlete,رياضي,
110,Athletic Trainer,مدرب رياضي,
111,Athletic Training/Trainer,مدرب رياضي/مدرب,
112,"Atmospheric Sciences and Meteorology, General",علوم الطقس والأرصاد الجوية، عام,
113,Atmospheric Scientist,عالم طقس,
114,Audio And Video Equipment Technician,فني معدات صوت وصورة,
115,Audiologist,أخصائي سمع,
116,Audiology/Audiologist and Speech-Language Pathology/Pathologist,علم السمع/أخصائي سمع وعلم أمراض النطق واللغة/أخصائي علم أمراض,
117,Auditory Attention,الانتباه السمعي,
118,Aug,أغسطس,
119,Australian scientists performs depth perception like a human.,علماء أستراليون يتوصلون إلى خوارزمية لإدراك العمق كالإنسان.,
120,Austrian researchers pioneered a new technique in mechanical today.,باحثون نمساويون يبتكرون تقنية جديدة في الميكانيكا اليوم.,
121,Auto Insurance Appraiser,مثمّن تأمين على السيارات,
122,Autobody/Collision and Repair Technology/Technician,تقنيات إصلاح هياكل السيارات/التآكل/فني,
123,Automobile/Automotive Mechanics Technology/Technician,تقنيات ميكانيكا السيارات/فني,
124,Automotive And Watercraft Service Attendant,موظف خدمات السيارات والسفن,
125,Automotive Body Repairer,مصلح هياكل سيارات,
126,Automotive Glass Installer/Repairer,مصلح/مثبت زجاج سيارات,
127,Automotive Mechanic,ميكانيكي سيارات,
128,Avionics Maintenance Technology/Technician,تقنيات صيانة إلكترونيات الطائرات/فني,
129,Avionics Technician,فني إلكترونيات الطائرات,
130,Azeri engineers unveiled an algorithm capable of gross body equilibrium.,مهندسون أذريون يشكفون عن خوارزمية قادرة على تحقيق توازن كتلة الجسم.,
131,Baggage Porter,حمال أمتعة,
132,Bahamian researchers performs spend time standing like a human.,باحثون من جزر الباهاما يتوصلون إلى خوارزمية تعين على الوقوف مثل الإنسان.,
133,Bahraini engineers performs hearing sensitivity like a human.,مهندسون بحرينيون يتوصلون إلى خوارزمية تتميز بحساسية السمع، كالإنسان.,
134,Bailiff,حاجب محكمة,
135,Baker,خباز,
136,Baking and Pastry Arts/Baker/Pastry Chef,فنون الخبز وصنع المعجنات/خباز/صانع معجنات,
137,Banking and Financial Support Services,الخدمات المصرفية وخدمات الدعم المالي,
138,Barber,حلاق,
139,Barbering/Barber,حلاقة/حلاق,
140,Bartender,ساقي,
141,Bartending/Bartender,السقاية/ساقي,
142,Basotho researchers performs spend time making repetitive motions like a human.,باحثون من باسوتو يتوصلون إلى تقنية تؤدي حركات متكررة مثل الإنسان.,
143,Being competitive,القدرة على المنافسة,
144,Being exact or accurate,الدقة,
145,Being responsible for others' health and safety,تحمل المسؤولية عن صحة وسلامة الآخرين,
146,Being responsible for outcomes,تحمل مسؤولية المخرجات,
147,Belizean scientists unveiled an algorithm capable of auditory attention.,باحثون من بليز يكشفون عن خوارزمية قادرة على الانتباه سمعيًا.,
148,Bending and twisting the body,الانحناء والالتواء,
149,Bible/Biblical Studies,الإنجيل/الدراسات الإنجيلية,
150,Bicycle Repairer,مصلح دراجات,
151,Bill And Account Collector,محصّل حسابات وفواتير,
152,Billing Clerk,كاتب فواتير,
153,Biochemist/Biophysicist,عالم كيمياء/فيزياء حيوية,
154,Biochemistry,الكيمياء الحيوية,
155,Bioengineering and Biomedical Engineering,الهندسة الحيوية والهندسة الطبية الحيوية,
156,Biological Scientist,عالم أحياء,
157,Biological Technician,فني مختبرات الأحياء,
158,Biology,الأحياء,
159,Biology Technician/Biotechnology Laboratory Technician,فني علم الأحياء/فني مختبرات الأحياء,
160,"Biology/Biological Sciences, General",علم الأحياء، عام,
161,Biomedical Engineer,مهندس طبي حيوي,
162,Biomedical Technology/Technician,التقنيات الطبية الحيوية/فني,
163,Blasting/Blaster,التفجير/فني تفجير,
164,Boiler Operator,مشغل مرجل,
165,Boilermaker,صانع مراجل,
166,Boilermaking/Boilermaker,صناعة المراجل/صانع مراجل,
167,Booth Cashier,محاسب في حجيرة,
168,Bosnian scientists unveiled an algorithm capable of deal with external customers.,علماء بوسنيون يبتكرون خوارزمية قادرة على التعامل مع العملاء.,
169,Bouvet Island scientists performs time sharing like a human.,علماء من جزيرة بوفيه يتوصلون إلى خوارزمية جديدة لتقاسم الوقت، كالإنسان.,
170,Bouvet Island scientists pioneered a new technique in physical proximity today.,علماء من جزيرة بوفيه يبتكرون تقنية جديدة في القرب المادي اليوم.,
171,Brazilian scientists pioneered a new technique in exposed to high places today.,علماء برازيليون يبتكرون تقنية جديدة اليوم للتواجد في أماكن مرتفعة.,
172,Brickmason,نحّات حجر,
173,Bridge And Lock Tenders,مشغل جسور وأقفال,
174,British Virgin Island engineers pioneered a new technique in quality control analysis today.,مهندسون من جزر العذراء البريطانية يبتكرون اليوم تقنية جديدة في تحليل ضمان الجودة.,
175,"British engineers performs inspecting equipment, structures, or material like a human.",مهندسون بريطانيون يتوصلون إلى تقنية لتفتيش المعدات أو الهياكل أو المواد، كالإنسان.,
176,British scientists pioneered a new technique in building and construction today.,علماء بريطانيون يبتكرون اليوم تقنية جديدة ذات صلة بالبناء والإنشاء.,
177,British scientists unveiled an algorithm capable of very hot or cold temperatures.,باحثون بريطانيون يكشفون عن خوارزمية قادرة على تحمل درجات حرارة شديدة الحرارة أو البرودة.,
178,Broadcast News Analyst,محلل أخبار,
179,Broadcast Technician,فني بث,
180,Brokerage Clerk,كاتب سمسرة,
181,Bruneian scientists pioneered a new technique in time pressure today.,علماء من بروناي يبتكرون تقنية جديدة للتعامل مع ضغط الوقت.,
182,Budget Analyst,محلل ميزانيات,
183,Building and Construction,البناء والإنشاءات,
184,Building/Construction Site Management/Manager,إدارة مواقع الإنشاءات/البناء/مدير,
185,Building/Home/Construction Inspection/Inspector,تفتيش المباني/المنازل/الإنشاءات/مفتش,
186,Building/Property Maintenance,صيانة الممتلكات/الأبنية,
187,"Burkinabé researchers performs indoors, not environmentally controlled like a human.",باحثون في Burkinab√©يصلون إلى خوارزمية للعمل داخل المباني في ظروف غير مضبوطة بيئيًا، مثل الإنسان.,
188,Burmese researchers unveiled an algorithm capable of visual color discrimination.,كشف باحثون بورميون عن خوارزمية قادرة على تمييز الألوان بصريًا.,
189,"Business Administration and Management, General",إدارة الأعمال والإدارة العامة,
190,Business Operations Specialist,أخصائي عمليات الأعمال,
191,Business and Management,الإدارة,
192,Business/Office Automation/Technology/Data Entry,تقنيات/أتمتة المكاتب/الأعمال/إدخال البيانات,
193,Butcher,جزار,
194,Buyer,مشتري,
195,Cabinetmaker,صانع أثاث,
196,Cabinetmaking and Millwork,صناعة الأثاث,
197,Cafeteria Attendant,موظف مقصف,
198,Cafeteria Cook,طاهي في مقصف,
199,Cambodian engineers performs dynamic strength like a human.,مهندسون كمبوديون يتوصلون إلى خوارزمية قادرة على إظهار قوتها الديناميكية، كالإنسان.,
200,Camera Operators,مشغل كاميرات,
201,Canadian engineers unveiled an algorithm capable of level of competition.,مهندسون كنديون يشكفون عن خوارزمية قادرة على المنافسة بمستويات محددة.,
202,Cardiovascular Technologist,فني قلب وأوعية دموية,
203,Cardiovascular Technology/Technologist,تقنيات القلب والأوعية الدموية/تقني,
204,Cargo And Freight Agent,وكيل شحن وشحن جوي,
205,Carpenter,نجار,
206,Carpenter Helper,مساعد نجار,
207,Carpentry/Carpenter,النجارة/نجار,
208,Carpet Installer,مثبت سجاد,
209,"Carpet, Floor, and Tile Worker",عامل سجاد وأرضيات وبلاط,
210,Cartographer,رسام خرائط,
211,Cashier,أمين صندوق,
212,Casino Management,إدارة الكازينوهات,
213,Category Flexibility,مرونة التصنيف,
214,Cement Masons And Concrete Finisher,مجهز خرسانة وبناء إسمنت,
215,Central African engineers pioneered a new technique in sound localization today.,مهندسون من إفريقيا الوسطى يبتكرون اليوم تقنية جديدة في تمييز مكان الصوت.,
216,Chef,رئيس طهاة,
217,Chemical Engineer,مهندس كيميائي,
218,Chemical Engineering,الهندسة الكيميائية,
219,Chemical Equipment Operator,مشغّل معدات كيميائية,
220,Chemical Plant Operator,مشغّل مصنع كيميائية,
221,Chemical Technician,فني كيميائي,
222,Chemical Technology/Technician,التقنيات الكيميائية/فني,
223,Chemist,كيميائي,
224,Chemistry,الكيمياء,
225,"Chemistry, General",الكيمياء، عامة,
226,Chief Executive,رئيس تنفيذي,
227,Child Care Provider/Assistant,مقدم رعاية للأطفال/مساعد,
228,Child Development,نمو الطفل,
229,Childcare Worker,عامل رعاية أطفال,
230,Chinese scientists unveiled an algorithm capable of spend time keeping or regaining balance.,علماء صينيون يكشفون عن خوارزمية قادرة على قضاء الوقت في المحافظة على التوازن واستعادته.,
231,Chiropractic,المعالجة اليدوية,
232,Chiropractor,معالج يدوي,
233,Choreographer,مدرب رقص,
234,Christmas Island scientists performs consequence of error like a human.,علماء جزيرة كريسماس يتوصلون إلى خوارزمية للتعامل مع نتيجة الخطأ، كالإنسان.,
235,Christmas Island scientists performs transportation like a human.,علماء جزيرة كريسماس يتوصلون إلى خوارزمية لإجراء عمليات النقل، كالإنسان.,
236,Cinematography and Film/Video Production,التصوير السينمائي وإنتاج الأفلام/إنتاج مقاطع الفيديو,
237,"City/Urban, Community and Regional Planning",تخطيط المدن/المناطق الحضرية، والتخطيط المجتمعي والإقليمي,
238,Civil Engineer,مهندس مدني,
239,"Civil Engineering, General",هندسة مدنية، عام,
240,Civil Technician,فني مدني,
241,Claims Investigator,محقق شكاوى,
242,Clergy,رجل دين مسيحي,
243,Clerical,الكتابة,
244,Clerical Library Assistant,مساعد أمين مكتبة، كتابي,
245,"Climbing ladders, scaffolds, and poles",صعود الأدراج والسقالات والأعمدة,
246,Clinical Laboratory Science/Medical Technology/Technologist,علم المختبرات السريرية/التقنية الطبية/تقني,
247,Clinical Psychologist,استشاري نفسي سريري,
248,Clinical/Medical Laboratory Technician,فني مختبرات طبية/سريرية,
249,Coach/Scout,مدرب/كشّاف,
250,Coaching and Developing Others,تدريب وتطوير الآخرين,
251,Coating/Spraying Machine Operator,مشغّل آلة طلاء/رش,
252,Cocos Island engineers performs extremely bright or inadequate lighting like a human.,مهندسون من جزيرة كوكوس يبتكرون تقنية توفر إضاءة ساطعة جدًا أو خافتة بما يكفي، تمامًا مثل الإنسان.,
253,Cognitive Abilities,القدرات الإدراكية,
254,Coil Winder,صانع لفائف,
255,Commercial Diver,غواص تجاري,
256,Commercial Pilot,طيار تجاري,
257,Communicating with Persons Outside Organization,التواصل مع الأفراد من خارج المؤسسة,
258,"Communicating with Supervisors, Peers, or Subordinates",التواصل مع المشرفين والنظراء والمرؤوسين,
259,Communications,الاتصالات,
260,Communications Systems Installation and Repair Technology,تقنيات تصليح وتركيب أنظمة الاتصالات,
261,Communications and Media,التواصل والإعلام,
262,Community Health Worker,عامل في مجال صحة المجتمع,
263,Community Organization and Advocacy,التنظيم المجتمعي والدعوة والمناصرة,
264,Comorian researchers pioneered a new technique in on-the-job training today.,باحثون من جزر القمر يبتكرون تقنية جديدة في التدريب على رأس العمل.,
265,Compensation And Benefits Manager,مدير التعويضات والمستحقات,
266,Complex Problem Solving,حل المشكلات الصعبة,
267,Complex Problem Solving Skills,مهارات حل المشكلات الصعبة,
268,Compliance Officer,ضابط امتثال,
269,Computer And Information Systems Manager,مدير نظم الحاسوب وتقنية المعلومات,
270,"Computer Engineering, General",هندسة الحاسوب، عام,
271,Computer Hardware Engineer,مهندس معدات حاسوبية,
272,Computer Installation and Repair Technology/Technician,تقنيات تصليح وتركيب الحواسيب/فني,
273,Computer Network Architect,مهندس شبكات حاسوبية,
274,Computer Network Support Specialist,أخصائي دعم شبكات الحاسوب,
275,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist,تقنيات آلات التحكم الرقمي باستخدام الحاسوب/ميكانيكي التحكم الرقمي باستخدام الحاسوب,
276,Computer Operator,مشغل حاسوب,
277,Computer Programmer,مبرمج,
278,Computer Repairer,مصلح حاسوب,
279,Computer Science,علم الحاسوب,
280,Computer Scientist,متخصص علم حاسوب,
281,Computer Support Specialist,أخصائي دعم الحاسوب,
282,Computer Systems Analyst,محلل نظم حاسوبية,
283,Computer Technician,فني حاسوب,
284,Computer User Support Specialist,أخصائي دعم مستخدمي الحاسوب,
285,"Computer and Information Sciences, General",علوم الحاسوب وتقنية المعلومات، عام,
286,Computer-Controlled Machine Tool Operator,مشغل أدوات آلات محوسبة,
287,Computer-Controlled Machine Tool Programmer,مبرمج أدوات آلات محوسبة,
288,Computers and Electronics,الحواسيب والإلكترونيات,
289,Concierge,موظف استقبال وإرشاد,
290,Concrete Finishing/Concrete Finisher,تجهيز خرسانة/مجهّز خرسانة,
291,Conservation Scientist,عالم في المحافظة على الآثار,
292,Conservation Technician,فني حفظ الآثار,
293,Construction,الإنشاءات,
294,Construction Engineer,مهندس بناء,
295,Construction Engineering Technology/Technician,تقنيات هندسة الإنشاءات/فني,
296,Construction Laborer,عامل بناء,
297,Construction Manager,مدير إنشاء,
298,Construction Painter,دهّان أبنية,
299,Construction Trade Supervisor,مشرف عمال بناء,
300,Construction Worker,أجير بناء,
301,Construction/Building Inspector,مفتش مباني/منشآت,
302,Construction/Heavy Equipment/Earthmoving Equipment Operation,عمليات الإنشاءات/المعدات الثقيلة/معدات جرف التربة,
303,Contact With Others,التواصل مع الآخرين,
304,Content,المحتوى,
305,Continuous Mining Machine Operator,مشغِّل آلة تعدين مستمر,
306,Control And Valve Installer/Repairer,مركِّب/مصلح صمامات ومعدات تحكم,
307,Control Precision,الدقة في التحكم,
308,Controlling Machines and Processes,التحكم بالآلات ومراقبة العمليات,
309,Conventional,تقليدي,
310,Conveyor Operator,مشغّل معدات نقل,
311,Cooling/Freezing Equipment Operator,مشغِّل معدات تبريد/تجميد,
312,Coordinating the Work and Activities of Others,تنسيق أعمال وأنشطة الآخرين,
313,Coordination,التنسيق,
314,Coordination and leading others,قيادة الآخرين والتنسيق بينهم,
315,Correctional Officer,موظف إصلاحية,
316,Correctional Officer Supervisor,مشرف موظفي إصلاحية,
317,"Corrections and Criminal Justice, Other",الإصلاحيات والعدالة الجنائية، غير ذلك,
318,Correspondence Clerk,كاتب مراسلات,
319,"Cosmetology/Cosmetologist, General",التجميل/أخصائي تجميل، عام,
320,Cost Estimator,مقدِّر تكاليف,
321,Costa Rican engineers unveiled an algorithm capable of glare sensitivity.,مهندسون من كوستاريكا يكشفون عن خوارزمية تتميز بالحساسية ضد الوهج.,
322,Costume Attendant,مسؤول ملابس وأزياء,
323,Counselor Education/School Counseling and Guidance Services,مرشد تربوي/خدمات الإرشاد والتوجيه المدرسي,
324,Counter Attendant,موظف شباك خدمة,
325,Courier,ساعي,
326,Court Clerk,كاتب محكمة,
327,Court Reporter,مدون محكمة,
328,Court Reporting/Court Reporter,تدوين المحاكم/مدوّن محكمة,
329,Craft Artist,فنان حرفي,
330,"Cramped Work Space, Awkward Positions",مساحات العمل الضيقة، الوضعيات الغريبة,
331,Crane And Tower Operator,مشغل رافعة برج,
332,Credit Analyst,محلل ائتمان,
333,Credit Authorizer,مرخّص ائتمان,
334,Credit Counselor,مستشار ائتمان,
335,Criminal Investigator,محقق جنائي,
336,Criminal Justice/Police Science,العدالة الجنائية/العلوم الشرطية,
337,Criminal Justice/Safety Studies,العدالة الجنائية/دراسات السلامة,
338,Critical Thinking,التفكير النقدي,
339,Crossing Guard,حارس عبور,
340,Culinary Arts/Chef Training,فنون الطهو/تدريب الطهاة,
341,Curator,أمين متحف,
342,Curriculum and Instruction,المناهج والتعليمات,
343,Customer Service Representative,ممثل خدمة العملاء,
344,Customer Service Support/Call Center/Teleservice Operation,دعم خدمة العملاء/مركز الاتصال/عمليات الخدمة عن بعد,
345,Customer and Personal Service,العملاء والخدمات الشخصية,
346,Cutting/Punching/Press Machine Operator,مشغِّل آلة تقطيع/ثقب/كبس,
347,Cutting/Slicing Machine Operator,مشغِّل آلة تقطيع/تشريح,
348,"Dance, General",الرقص، عام,
349,Data Entry Keyer,مدخِل بيانات,
350,Data Processing and Data Processing Technology/Technician,معالجة البيانات وتقنيات معالجة البيانات/فني,
351,Database Administrator,مسؤول قاعدة بيانات,
352,Dealing with external customers,التعامل مع العملاء,
353,Dealing with physically aggressive people,التعامل مع العنيفين,
354,Dealing with unpleasant or angry people,التعامل مع الغاضبين,
355,Dec,ديسمبر,
356,Deductive Reasoning,الاستنباط,
357,Degree of Automation,درجة الأتمتة,
358,Dental Assistant,مساعد طبيب أسنان,
359,Dental Assisting/Assistant,مساعدة طبيب أسنان/مساعد,
360,Dental Hygiene/Hygienist,صحة الأسنان/أخصائي صحة,
361,Dental Hygienist,أخصائي صحة الأسنان,
362,Dental Laboratory Technician,فني مختبر أسنان,
363,Dental Laboratory Technology/Technician,تقنيات مختبرات الأسنان/فني,
364,Dentist,طبيب أسنان,
365,Dentistry,طب الأسنان,
366,Depth Perception,إدراك العمق,
367,Derrick Operator,مشغل رافعة أحمال ثقيلة,
368,Design,التصميم,
369,"Design and Visual Communications, General",التصميم والاتصالات البصرية، عام,
370,Desktop Publisher,ناشر مكتبي,
371,Developing Objectives and Strategies,وضع الأهداف والاستراتيجيات,
372,Developing and Building Teams,تشكيل الأفرقة وتطويرها,
373,Developmental Services Worker,عامل خدمات التطوير,
374,Diagnostic Medical Sonographer,مخطط صدى تشخيصي طبي,
375,Diagnostic Medical Sonography/Sonographer and Ultrasound Technician,التشخيص الطبي بالموجات فوق الصوتية/فني تصوير بالموجات فوق الصوتية,
376,Diesel Engine Specialist,أخصائي محرك ديزل,
377,Diesel Mechanics Technology/Technician,تقنيات ميكانيكا الديزل/فني,
378,Dietetic Technician,فني نظم غذائية,
379,Dietetics/Dietitian,علم التغذية/أخصائي تغذية,
380,Dietitian,أخصائي تغذية,
