,en,de,correction
23,A new algorithm from The Somalilander Institute of Technology performs spatial orientation like a human.,Ein neuer Algorithmus vom Institut für Technologie in Somaliland agiert im Hinblick auf die räumliche Orientierung wie ein Mensch.,
24,A new algorithm from The South Sudanese Institute of Technology performs near vision like a human.,Ein neuer Algorithmus vom Institut für Technologie im Südsudan agiert im Hinblick auf Nahsehen wie ein Mensch.,
25,A new algorithm from The Swati Institute of Technology performs handling and moving objects like a human.,Ein neuer Algorithmus vom Institut für Technologie in Swati agiert bei der Handhabung und Beförderung von Gegenständen wie ein Mensch.,
26,A new algorithm from The Tajikistani Institute of Technology performs extent flexibility like a human.,Ein neuer Algorithmus vom tadschikischen Institut für Technologie agiert bei dem Maß an Flexibilität wie ein Mensch.,
27,Accommodation and Food Services,Beherbergungs- und Verpflegungsdienstleistungen,
28,Accountant,Buchhalter*in,
29,Accounting,Buchhaltung,
30,Accounting Clerk,Sachbearbeiter*in,
31,Accounting Technology/Technician and Bookkeeping,Rechnungswesentechnik/Techniker*in und Buchhaltung,
32,Active Learning,Aktives Lernen,
33,Active Listening,Aktives Zuhören,
34,Actuary,Versicherungsmathematiker*in,
35,Acupuncture and Oriental Medicine,Akupunktur und Orientalische Medizin,
36,Adhesive Bonding Machine Operator,Bediener*in von Adhäsionsklebemaschinen,
37,Adjudicator,Adjudikator*in,
38,Administration and Management,Verwaltung und Management,
39,Administrative Assistant,Verwaltungsassistent*in,
40,"Administrative Assistant and Secretarial Science, General","Verwaltungsassistent*in und Verwaltungswissenschaft, allgemein",
41,Administrative Services Manager,Leiter*in Verwaltungsdienstleitungen,
42,Administrative Support Supervisor,Aufseher*in in der Verwaltungsunterstützung,
43,Administrative and Support Services,Verwaltungs- und Unterstützungsdienstleistungen,
44,Adult Education Teacher,Dozent*in in der Erwachsenenbildung,
45,Adult and Continuing Education and Teaching,Lehre in der Erwachsenenbildung und Fortbildung,
46,Advertising Manager,Werbeleiter*in,
47,Advertising Sales Agent,Anzeigevertreter*in,
48,Aeronautical/Aerospace Engineering Technology/Technician,Luft- und Raumfahrttechnik/Techniker*in,
49,Aerospace Engineer,Luft- und Raumfahrtingenieur*in,
50,Aerospace Technician,Luft- und Raumfahrttechniker*in,
51,Agricultural Engineer,Agraringenieur*in,
52,Agricultural Engineering,Agraringenieurwesen,
53,Agricultural Equipment Operator,Bediener*in von landwirtschaftlichen Anlagen,
54,Agricultural Inspector,Agrarinspektor*in,
55,Agricultural Mechanics and Equipment/Machine Technology,Landwirtschaftsmaschinen und -anlagen/Maschinentechnik,
56,Agricultural Power Machinery Operation,Betrieb von landwirtschaftlichen Kraftmaschinen,
57,Agricultural Product Grader,Sortierer*in von landwirtschaftlichen Erzeugnissen,
58,Agricultural Teacher Education,Ausbildung für Landwirtschaftslehrer*innen,
59,Agricultural and Food Products Processing,Verarbeitung landwirtschaftlicher Erzeugnisse und Lebensmittel,
60,Agricultural/Farm Supplies Retailing and Wholesaling,Landwirtschaftlicher Groß- und Einzelhandel/ Groß- und Einzelhandel mit Bauernhofprodukten,
61,Agricultural/Food Science Technician,Landwirtschaftliche*r Fachtechniker*in/Lebensmitteltechniker*in,
62,"Agriculture, Forestry, Fishing, and Hunting","Land- und Forstwirtschaft, Fischerei und Jagdwesen",
63,Agronomy and Crop Science,Acker- und Pflanzenbau,
64,Air Traffic Controller,Fluglotse/Fluglotsin,
65,Aircraft Cargo Handling Supervisor,Flugzeugladungsumschlag-Aufseher*in,
66,Aircraft Mechanic,Flugzeugmechaniker*in,
67,Aircraft Systems Assembler,Flugzeugsystememonteur*in,
68,Airfield Operations Specialist,Flugbetriebfachmann/-frau,
69,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Metallflugzeugbauer*innen und Flugzeuginstandhaltungstechnik/Techniker*in,
70,Airline Flight Attendant,Flugbegleiter*in bei Fluggesellschaften,
71,Airline Pilot/Flight Engineer,Flugzeugpilot*in/Flugingenieur*in,
72,Airline/Commercial/Professional Pilot and Flight Crew,Fluggesellschaft-/Gewerbliche*r/Berufs-/Pilot*in und Crew,
73,Ambulance Driver,Rettungswagenfahrer*in,
74,American scientists pioneered a new technique in control precision today.,Amerikanische Wissenschaftler*innen haben heute eine neue Technik im Hinblick auf die Steuerungspräzision entwickelt.,
75,Amusement Attendant,Schausteller*in,
76,Analyzing data and information,Daten und Informationen analysieren,
77,Anesthesiologist,Anästhesist*in,
78,Animal Control Worker,Hundefänger*in,
79,"Animal Sciences, General","Tierwissenschaften, allgemein",
80,Animal Scientist,Tierzuchtwissenschaftler*in,
81,Animal Trainer,Tiertrainer*in,
82,"Antarctic scientists pioneered a new technique in outdoors, exposed to weather today.",Wissenschaftler*innen auf der Antarktis haben heute im Hinblick auf das im Freien-dem-Wetter-ausgesetzt-sein eine neue Technik entwickelt.,
83,Antarctic scientists unveiled an algorithm capable of night vision.,"Antarktische Wissenschaftler*innen haben einen Algorithmus entdeckt, der sich für das Nachtsehen eignet.",
84,Anthropologist/Archeaologist,Anthropologe*in/Archäologe*in,
85,Anthropology,Anthropologie,
86,Antiguan scientists performs multilimb coordination like a human.,Der Algorithmus von antiguanischen Wissenschaftler*innen agiert bei der Koordination mehrerer Gliedmaßen wie ein Mensch.,
87,Apparel and Textile Manufacture,Kleidung- und Textilfertigung,
88,Appliance Installation and Repair Technology/Technician,Geräteinstallation- und Reparaturtechnik/Techniker*in,
89,Applications Software Developer,Entwickler*in von Anwendungssoftware,
90,"Applied Horticulture/Horticulture Operations, General","Angewandter Pflanzenbau/Pflanzenbautätigkeit, allgemein",
91,Apr,Apr,
92,Arbitrator,Schlichter*in,
93,Architect,Architekt*in,
94,Architectural And Engineering Manager,Manager*in für Architektur und Bauingenieurwesen,
95,Architectural Drafter,Technische*r Zeichner*in,
96,Architecture,Architektur,
97,Archivist,Archivar*in,
98,Arm-Hand Steadiness,Arm-Hand-Stabilität,
99,Art Director,Künstlerische*r Leiter*in,
100,"Art History, Criticism and Conservation","Kunstgeschichte, Kunstkritik und Kunsterhaltung",
101,"Art/Art Studies, General","Kunst/Kunstwissenschaft, allgemein",
102,"Artist, Performer, And Athlete Agent","Agent*in für Künstler*innen, Darsteller*innen und Sportler*innen",
103,Artistic,Künstlerisch,
104,Arts and Humanities,Geisteswissenschaften,
105,"Arts, Entertainment, and Recreation","Kunst, Unterhaltung und Erholung",
106,Assisting and Caring for Others,Andere unterstützen und pflegen,
107,Astronomer,Astronom*in,
108,Astronomy,Astronomie,
109,Athlete,Sportler*in,
110,Athletic Trainer,Sporttrainer*in,
111,Athletic Training/Trainer,Sporttrainer*in/Trainer*in,
112,"Atmospheric Sciences and Meteorology, General","Atmosphärenwissenschaft und Meteorologie, allgemein",
113,Atmospheric Scientist,Atmosphärenwissenschaftler*in,
114,Audio And Video Equipment Technician,Audio- und Videogerätetechniker*in,
115,Audiologist,Gehörspezialist*in,
116,Audiology/Audiologist and Speech-Language Pathology/Pathologist,Audiologie/Audiologe/Audiologin und Sprachpathologie/Pathologe/Pathologin,
117,Auditory Attention,Aufmerksamkeit des Publikums,
118,Aug,Aug,
119,Australian scientists performs depth perception like a human.,Der Algorithmus von australischen Wissenschaftler*innen agiert bei der Tiefenwahrnehmung wie ein Mensch.,
120,Austrian researchers pioneered a new technique in mechanical today.,Österreichische Forscher*innen haben heute im Hinblick auf Mechanik eine neue Technik entwickelt.,
121,Auto Insurance Appraiser,Gutachter*in für Autoversicherungen,
122,Autobody/Collision and Repair Technology/Technician,Autokarrosserie/Kollisions- und Reparaturtechnik/Techniker*in,
123,Automobile/Automotive Mechanics Technology/Technician,Kraftfahrzeugmechanik/Techniker*in,
124,Automotive And Watercraft Service Attendant,Kraftfahrzeug- und Wasserfahrzeugwärter*in,
125,Automotive Body Repairer,Karosseriespengler*in,
126,Automotive Glass Installer/Repairer,Autoglasinstallateur/-instandsetzer*in,
127,Automotive Mechanic,Automechaniker*in,
128,Avionics Maintenance Technology/Technician,Flugzeuginstandhaltungstechnik/Techniker*in,
129,Avionics Technician,Bordelektroniktechniker*in,
130,Azeri engineers unveiled an algorithm capable of gross body equilibrium.,"Aserbaidschanische Ingenieur*innen haben einen Algorithmus entdeckt, der sich für grobes Körpergleichgewicht eignet.",
131,Baggage Porter,Gepäckträger*in,
132,Bahamian researchers performs spend time standing like a human.,Ein Algorithmus von Forscher*innen von den Bahamas agiert beim Verbringen von Zeit im Stehen wie ein Mensch.,
133,Bahraini engineers performs hearing sensitivity like a human.,Der Algorithmus von Ingenieur*innen aus Bahrain agiert im Hinblick auf Hörempfindlichkeit wie ein Mensch.,
134,Bailiff,Gerichtsvollzieher*in,
135,Baker,Bäcker*in,
136,Baking and Pastry Arts/Baker/Pastry Chef,Backen und Konditorei/Bäcker*in/Konditor*in,
137,Banking and Financial Support Services,Bank- und Finanzdienstleistungen,
138,Barber,Friseur*in,
139,Barbering/Barber,Herrenfriseurgewerbe/Herrenfriseur,
140,Bartender,Barkeeper*in,
141,Bartending/Bartender,Barkeeping/Barkeeper*in,
142,Basotho researchers performs spend time making repetitive motions like a human.,Ein Algorithmus von Forscher*innen aus Basotho agiert beim Verbringen von Zeit mit repetitiven Bewegungen wie ein Mensch.,
143,Being competitive,Wettbewerbsfähig sein,
144,Being exact or accurate,Exakt und genau sein,
145,Being responsible for others' health and safety,Für Gesundheit und Sicherheit von anderen verantwortlich sein,
146,Being responsible for outcomes,Für Ergebnisse verantwortlich sein,
147,Belizean scientists unveiled an algorithm capable of auditory attention.,"Belizische Wissenschaftler*innen haben einen Algorithmus entdeckt, der die Aufmerksamkeit des Publikums gewinnen kann.",
148,Bending and twisting the body,Den Körper biegen und drehen,
149,Bible/Biblical Studies,Bibel/Bibelstudien,
150,Bicycle Repairer,Fahrradmechaniker*in,
151,Bill And Account Collector,Inkassoagent*in,
152,Billing Clerk,Fakturist*in,
153,Biochemist/Biophysicist,Biochemiker*in/Biophysiker*in,
154,Biochemistry,Biochemie,
155,Bioengineering and Biomedical Engineering,Bioingenieurwesen und Biomedizinisches Ingenieurwesen,
156,Biological Scientist,Biologe/Biolog*in,
157,Biological Technician,Biologietechniker*in,
158,Biology,Biologie,
159,Biology Technician/Biotechnology Laboratory Technician,Biologietechniker*in/Biotechnologie Labortechniker*in,
160,"Biology/Biological Sciences, General","Biologie/Biowissenschaften, allgemein",
161,Biomedical Engineer,Biomedizinische*r Ingenieur*in,
162,Biomedical Technology/Technician,Biomedizinische Technik/Techniker*in,
163,Blasting/Blaster,Spengung/Sprengmeister*in,
164,Boiler Operator,Kesselwärter*in,
165,Boilermaker,Kesselbauer*in,
166,Boilermaking/Boilermaker,Kesselbau/Kesselbauer*in,
167,Booth Cashier,Schalterbedienstete*r in Spielcasino,
168,Bosnian scientists unveiled an algorithm capable of deal with external customers.,"Bosnische Wissenschaftler*innen haben einen Algorithmus entdeckt, der sich für den Umgang mit externen Kunden eignet.",
169,Bouvet Island scientists performs time sharing like a human.,Der Algorithmus von Wissenschaftler*innen von der Bouvetinsel agiert im Hinblick auf Timesharing wie ein Mensch.,
170,Bouvet Island scientists pioneered a new technique in physical proximity today.,Wissenschaftler*innen auf der Bouvetinsel haben heute eine neue Technik im Hinblick auf körperliche Nähe entwickelt.,
171,Brazilian scientists pioneered a new technique in exposed to high places today.,Brasilianische Wissenschaftler*innen haben heute im Hinblick auf die Gefährdung durch Arbeitsplätze in der Höhe eine neue Technik entwickelt.,
172,Brickmason,Maurer*in,
173,Bridge And Lock Tenders,Brücken- und Schleusenwärter*innen,
174,British Virgin Island engineers pioneered a new technique in quality control analysis today.,Ingenieur*innen von der britischen Jungferninsel haben heute eine neue Technik im Hinblick auf die Analyse von Qualitätskontrollen entwickelt.,
175,"British engineers performs inspecting equipment, structures, or material like a human.","Der Algorithmus von britischen Ingenieur*innen agiert beim Kontrollieren von Anlagen und Geräten, Bauten oder Materialien wie ein Mensch.",
176,British scientists pioneered a new technique in building and construction today.,Britische Wissenschaftler*innen haben heute eine neue Technik im Hinblick auf den Hoch- und Tiefbau entwickelt.,
177,British scientists unveiled an algorithm capable of very hot or cold temperatures.,"Britische Wissenschaftler*innen haben einen Algorithmus entdeckt, der bei sehr heißen oder kalten Temperaturen wie ein Mensch agieren kann.",
178,Broadcast News Analyst,Nachrichtenanalyst*in,
179,Broadcast Technician,Rundfunktechniker*in,
180,Brokerage Clerk,Angestellte/r einer Maklerfirma,
181,Bruneian scientists pioneered a new technique in time pressure today.,Wissenschaftler*innen aus Brunei haben heute eine neue Technik im Hinblick auf Zeitdruck entwickelt.,
182,Budget Analyst,Controller*in,
183,Building and Construction,Bauwesen,
184,Building/Construction Site Management/Manager,Bauleitung/Bauleiter*in,
185,Building/Home/Construction Inspection/Inspector,Inspektion/Inspektor*in im Bauwesen,
186,Building/Property Maintenance,Gebäude-/Grundstücksinstandhaltung,
187,"Burkinabé researchers performs indoors, not environmentally controlled like a human.",Ein Algorithmus von Forscher*innnen aus Burkinab√© agiert in nicht klimatisierten Innenräumen wie ein Mensch.,
188,Burmese researchers unveiled an algorithm capable of visual color discrimination.,"Forscher*innen aus Burma haben einen Algorithmus entdeckt, der Farben optisch unterscheiden kann.",
189,"Business Administration and Management, General","Betriebswirtschaft, allgemein",
190,Business Operations Specialist,Geschäftsbetriebfachmann/-frau,
191,Business and Management,Betriebswirtschaft,
192,Business/Office Automation/Technology/Data Entry,Unternehmens-/Büroautomatisierung/Technologie/Dateneingabe,
193,Butcher,Metzger*in,
194,Buyer,Einkäufer*in,
195,Cabinetmaker,Tischler*in,
196,Cabinetmaking and Millwork,Möbeltischlerei und Schreinerei,
197,Cafeteria Attendant,Kantinenausgabekraft,
198,Cafeteria Cook,Kantinenkoch/-köchin,
199,Cambodian engineers performs dynamic strength like a human.,Der Algorithmus von Ingenieur*innen aus Kambodscha agiert im Hinblick auf dynamische Festigkeit wie ein Mensch.,
200,Camera Operators,Kameramann/-frau,
201,Canadian engineers unveiled an algorithm capable of level of competition.,"Kanadische Ingenieur*innen haben einen Algorithmus entdeckt, der sich für die Wettbewerbsintensität eignet.",
202,Cardiovascular Technologist,Herzkreislauf-Technologe/Technologin,
203,Cardiovascular Technology/Technologist,Herzkreislauf-Technologie/Techniker*in,
204,Cargo And Freight Agent,Frachtspediteur*in,
205,Carpenter,Zimmermann,
206,Carpenter Helper,Zimmermanngehilfe/gehilfin,
207,Carpentry/Carpenter,Zimmerei/Zimmermann/-frau,
208,Carpet Installer,Teppichleger*in,
209,"Carpet, Floor, and Tile Worker","Teppich-, Fußboden- und Fliesenleger*in",
210,Cartographer,Kartograf*in,
211,Cashier,Kassierer*in,
212,Casino Management,Casinomanagement,
213,Category Flexibility,Kategorie Flexibilität,
214,Cement Masons And Concrete Finisher,Zementbauer*in und Betonfertiger*in,
215,Central African engineers pioneered a new technique in sound localization today.,Zentralafrikanische Ingenieur*innen haben heute im Hinblick auf Schalllokalisierung eine neue Technik entwickelt.,
216,Chef,Koch/ Köchin,
217,Chemical Engineer,Chemieingenieur*in,
218,Chemical Engineering,Chemieingenieurwesen,
219,Chemical Equipment Operator,Bediener*in von Chemieanlagen,
220,Chemical Plant Operator,Chemiewerkbetreiber*in,
221,Chemical Technician,Chemotechniker*in,
222,Chemical Technology/Technician,Chemietechnik/Techniker*in,
223,Chemist,Chemiker*in,
224,Chemistry,Chemie,
225,"Chemistry, General","Chemie, allgemein",
226,Chief Executive,Geschäftsführer*in,
227,Child Care Provider/Assistant,Kinderpfleger*in/Assistent*in,
228,Child Development,Kindesentwicklung,
229,Childcare Worker,Kinderbetreuer*in,
230,Chinese scientists unveiled an algorithm capable of spend time keeping or regaining balance.,"Chinesische Wissenschaftler*innen haben einen Algorithmus entdeckt, der die Zeit damit verbringen kann, das Gleichgewicht zu halten oder wiederzugewinnen.",
231,Chiropractic,Chiropraxis,
232,Chiropractor,Chiropraktiker*in,
233,Choreographer,Choreograf*in,
234,Christmas Island scientists performs consequence of error like a human.,Ein Algorithmus von Wissenschaftler*innen von der Weihnachtsinsel agiert im Hinblick auf die Folgen von Fehlern wie ein Mensch.,
235,Christmas Island scientists performs transportation like a human.,Ein Algorithmus von Wissenschaftler*innen von der Weihnachtsinsel agiert im Hinblick auf die Beförderung wie ein Mensch.,
236,Cinematography and Film/Video Production,Kinematografie und Film-/Videoproduktion,
237,"City/Urban, Community and Regional Planning","Stadt-, Gemeinde- und Regionalplanung",
238,Civil Engineer,Hochbauingenieur*in,
239,"Civil Engineering, General","Hochbau, allgemein",
240,Civil Technician,Hochbautechniker*in,
241,Claims Investigator,Leistungsprüfer*in,
242,Clergy,Pfarrer*in,
243,Clerical,Bürotätigkeit,
244,Clerical Library Assistant,Bibliotheksassistent*in,
245,"Climbing ladders, scaffolds, and poles","Leitern, Regale, Stangen hochklettern",
246,Clinical Laboratory Science/Medical Technology/Technologist,Klinische Laborwissenschaft/Medizintechnik/Techniker*in,
247,Clinical Psychologist,Klinische/r Psychologe/Psychologin,
248,Clinical/Medical Laboratory Technician,Klinische*r/Medizinische*r Labortechniker*in,
249,Coach/Scout,Coach/Scout,
250,Coaching and Developing Others,Andere entwickeln und coachen,
251,Coating/Spraying Machine Operator,Bediener*in von Beschichtungs-/Sprühmaschinen,
252,Cocos Island engineers performs extremely bright or inadequate lighting like a human.,Ein Algorithmus von Ingenieur*innen von der Kokosinsel agiert bei extrem heller oder unangemessener Beleuchtung wie ein Mensch.,
253,Cognitive Abilities,Kognitive Fähigkeiten,
254,Coil Winder,Aufspuler*in,
255,Commercial Diver,Berufstaucher*in,
256,Commercial Pilot,Berufspilot*in,
257,Communicating with Persons Outside Organization,Mit Personen außerhalb des Unternehmens kommunizieren,
258,"Communicating with Supervisors, Peers, or Subordinates","Mit Vorgesetzten, gleichrangigen Kolleg*innen oder unterstellten Mitarbeiter*innen kommunizieren",
259,Communications,Kommunikation,
260,Communications Systems Installation and Repair Technology,Kommunikationssysteminstallation- und Reparaturtechnik,
261,Communications and Media,Kommunikation und Medien,
262,Community Health Worker,Gemeindegesundheitshelfer*in,
263,Community Organization and Advocacy,Gemeindeorganisation und Interessenvertretung,
264,Comorian researchers pioneered a new technique in on-the-job training today.,Forscher*innen von den Komoren haben heute eine neue Technik im Hinblick auf die Ausbildung am Arbeitsplatz entwickelt.,
265,Compensation And Benefits Manager,Vergütungs- und Leistungsmanager*in,
266,Complex Problem Solving,Lösen komplexer Probleme,
267,Complex Problem Solving Skills,Fähigkeiten zur Lösung komplexer Probleme,
268,Compliance Officer,Kontrollbeamte/r,
269,Computer And Information Systems Manager,Manager*in für Computer- und Informationssysteme,
270,"Computer Engineering, General","Computeringenieurwesen, allgemein",
271,Computer Hardware Engineer,Computer-Hardwareingenieur*in,
272,Computer Installation and Repair Technology/Technician,Computerinstallation- und Reparaturtechnik/Techniker*in,
273,Computer Network Architect,Computer-Netzwerkarchitekt*in,
274,Computer Network Support Specialist,Fachmann/-frau für Computernetzwerkunterstützung,
275,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist,CNC-Maschinentechnik/CNC-Maschinist*in,
276,Computer Operator,Anlagenbediener*in,
277,Computer Programmer,Computerprogrammierer*in,
278,Computer Repairer,Instandsetzer*in von Computern,
279,Computer Science,Informatik,
280,Computer Scientist,Informatiker*in,
281,Computer Support Specialist,Spezialist*in für den IT-Support,
282,Computer Systems Analyst,Computersystemanalyst*in,
283,Computer Technician,Computertechniker*in,
284,Computer User Support Specialist,Fachmann/-frau für die Unterstützung von Computeranwender*innen,
285,"Computer and Information Sciences, General","Informatik, allgemein",
286,Computer-Controlled Machine Tool Operator,Bediener*in von computergesteuerten Maschinenwerkzeugen,
287,Computer-Controlled Machine Tool Programmer,Programmierer*in für computergesteuerte Maschinenwerkzeuge,
288,Computers and Electronics,Computer und Elektronik,
289,Concierge,Concierge,
290,Concrete Finishing/Concrete Finisher,Betonfertigung/Betonfertiger*in,
291,Conservation Scientist,Konservierungswissenschaftler*in,
292,Conservation Technician,Naturschutztechniker*in,
293,Construction,Bauwesen,
294,Construction Engineer,Bauingenieur*in,
295,Construction Engineering Technology/Technician,Bautechnik/Techniker*in,
296,Construction Laborer,Ungelernte/r Bauarbeiter*in,
297,Construction Manager,Bauleiter*in,
298,Construction Painter,Bauanstreicher*in,
299,Construction Trade Supervisor,Aufseher*in im Baugewerbe,
300,Construction Worker,Bauarbeiter*in,
301,Construction/Building Inspector,Bauinspektor*in,
302,Construction/Heavy Equipment/Earthmoving Equipment Operation,Bedienung von Baumaschinen/Baggern/Erdbewegungsmaschinen,
303,Contact With Others,Kontakt mit anderen,
304,Content,Inhalt,
305,Continuous Mining Machine Operator,Bediener*in von Continuous Minern,
306,Control And Valve Installer/Repairer,Installateur*in/Instandsetzer*in von Absperrkästen,
307,Control Precision,Steuerungspräzision,
308,Controlling Machines and Processes,Maschinen und Prozesse steuern,
309,Conventional,Konventionell,
310,Conveyor Operator,Bediener*in von Förderern,
311,Cooling/Freezing Equipment Operator,Bediener*in von Kühl-/Gefrieranlagen,
312,Coordinating the Work and Activities of Others,Die Arbeit und die Tätigkeiten von anderen koordinieren,
313,Coordination,Koordination,
314,Coordination and leading others,Andere koordinieren und leiten,
315,Correctional Officer,Justizvollzugsbeamte/r,
316,Correctional Officer Supervisor,Dienstvorgesetzte/r von Justizvollzugsbeamt*innen,
317,"Corrections and Criminal Justice, Other","Strafvollzug und Strafrecht, Sonstiges",
318,Correspondence Clerk,Korrespondent*in,
319,"Cosmetology/Cosmetologist, General","Kosmetologie/Kosmetologe/Kosmetologin, allgemein",
320,Cost Estimator,Kostenschätzer*in,
321,Costa Rican engineers unveiled an algorithm capable of glare sensitivity.,"Ingenieur*innen von Costa Rica haben einen Algorithmus entdeckt, der zur Blendempfindlichkeit fähig ist.",
322,Costume Attendant,Kostümwart*in,
323,Counselor Education/School Counseling and Guidance Services,Schullaufbahnberatung/Schulberatung und Studienberatung,
324,Counter Attendant,Bediener*in an der Theke,
325,Courier,Kurier*in,
326,Court Clerk,Justizangestellte/r,
327,Court Reporter,Gerichtsreporter*in,
328,Court Reporting/Court Reporter,Gerichtsschreiberei/Gerichtsschreiber*in,
329,Craft Artist,Handwerkskünstler*in,
330,"Cramped Work Space, Awkward Positions","Beengter Arbeitsplatz, unangenehme Positionen",
331,Crane And Tower Operator,Kran- und Turmkranführer*in,
332,Credit Analyst,Kreditanalyst*in,
333,Credit Authorizer,Kreditgenehmiger*in,
334,Credit Counselor,Kreditberater*in,
335,Criminal Investigator,Kriminalist*in,
336,Criminal Justice/Police Science,Kriminalistik/Polizeiwissenschaft,
337,Criminal Justice/Safety Studies,Strafrecht/Sicherheitsstudien,
338,Critical Thinking,Kritisches Denken,
339,Crossing Guard,Verkehrshelfer*in,
340,Culinary Arts/Chef Training,Kochkünste/Küchenchef-Fortbildung,
341,Curator,Kurator*in,
342,Curriculum and Instruction,Lehrplan und Lehre,
343,Customer Service Representative,Kundenbetreuer*in,
