,en,fr,correction
27,Accommodation and Food Services,Services d'hôtellerie et de restauration,
28,Accountant,Comptable,
29,Accounting,Comptabilité,
30,Accounting Clerk,Commis comptable,
31,Accounting Technology/Technician and Bookkeeping,Technologie de comptable/Technicien et tenue de livres,Technologie de comptabilité/Technicien et tenue de livres
32,Active Learning,Apprentissage actif,
33,Active Listening,Écoute active,
34,Actuary,Actuaire,
35,Acupuncture and Oriental Medicine,Acupuncture et médecine orientale,
36,Adhesive Bonding Machine Operator,Opérateur de machine à coller les adhésifs,Opérateur de machine de collage les adhésifs
37,Adjudicator,Arbitre de grief,
38,Administration and Management,Administration et gestion,
39,Administrative Assistant,Adjoint administratif,
40,"Administrative Assistant and Secretarial Science, General","Adjoint administrative et science du secrétariat, en général","Adjoint administratif et sciences du secrétariat, général"
41,Administrative Services Manager,Gestionnaire de services administratifs,
42,Administrative Support Supervisor,Superviseur du soutien administratif,Superviseur d'assistance administrative
43,Administrative and Support Services,Services administratifs et d'assistance,
44,Adult Education Teacher,Enseignant pour adultes,
45,Adult and Continuing Education and Teaching,"Éducation des adultes, formation continue et enseignement",
46,Advertising Manager,Responsable publicité,Directeur de la publicité
47,Advertising Sales Agent,Agent de vente en publicité,Agent de vente publicitaire
48,Aeronautical/Aerospace Engineering Technology/Technician,Technologie/Technicien en aéronautique/génie aérospatial,
49,Aerospace Engineer,Ingénieur dans le secteur aérospatial,Ingénieur en aérospatiale
50,Aerospace Technician,Technicien dans le secteur aérospatial,Technicien en aérospatiale
51,Agricultural Engineer,Ingénieur agronome,
52,Agricultural Engineering,Génie agricole,
53,Agricultural Equipment Operator,Conducteur d'engins agricoles,
54,Agricultural Inspector,Inspecteur agricole,
55,Agricultural Mechanics and Equipment/Machine Technology,Mécanique et équipement agricole/technologie des machines,
56,Agricultural Power Machinery Operation,Exploitation de machines agricoles motrices,Opération de machines agricoles à moteur
57,Agricultural Product Grader,Contrôleur de produits agricoles,
58,Agricultural Teacher Education,Formation des enseignants agricoles,
59,Agricultural and Food Products Processing,Transformation des produits agricoles et alimentaires,Traitement des produits agricoles et alimentaires
60,Agricultural/Farm Supplies Retailing and Wholesaling,Commerce de détail et de gros de fournitures agricoles,
61,Agricultural/Food Science Technician,Technicien en sciences agro-alimentaires,
62,"Agriculture, Forestry, Fishing, and Hunting","Agriculture, sylviculture, pêche et chasse",
63,Agronomy and Crop Science,Agronomie et phytotechnie,
64,Air Traffic Controller,Contrôleur du trafic aérien,
65,Aircraft Cargo Handling Supervisor,Superviseur de la manutention du fret d'aéronef,Superviseur de la gestion du fret aérien
66,Aircraft Mechanic,Mécanicien d'aéronefs,
67,Aircraft Systems Assembler,Assembleur de systèmes aéronautiques,
68,Airfield Operations Specialist,Spécialiste des opérations aéroportuaires,
69,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Technologie/technicien de mécanique d'aéronefs et d'entretien d'aéronefs,
70,Airline Flight Attendant,Agent de bord d'une compagnie aérienne,
71,Airline Pilot/Flight Engineer,Pilote de ligne/mécanicien de bord,Pilote de ligne/ingénieur de vol
72,Airline/Commercial/Professional Pilot and Flight Crew,"Pilote de ligne, pilote commercial, pilote professionnel et membre d'équipage de vol",
73,Ambulance Driver,Conducteur d'ambulance,
74,American scientists pioneered a new technique in control precision today.,"Aujourd'hui, des scientifiques américains ont mis au point une nouvelle technique de précision de commande.",
75,Amusement Attendant,Préposé aux loisirs,
76,Analyzing data and information,Analyse des données et de l'information,
77,Anesthesiologist,Anesthésiste,
78,Animal Control Worker,Travailleur de contrôle d'animaux,
79,"Animal Sciences, General","Sciences animales, en général","Sciences animales, général"
80,Animal Scientist,Expert en science animale,
81,Animal Trainer,Entraîneur d'animaux,
82,"Antarctic scientists pioneered a new technique in outdoors, exposed to weather today.","Aujourd'hui, des scientifiques de l'Antarctique ont mis au point une nouvelle technique en matière d'exposition à l'extérieur et aux intempéries.",
83,Antarctic scientists unveiled an algorithm capable of night vision.,Des scientifiques de l'Antarctique ont dévoilé un algorithme capable de vision nocturne.,
84,Anthropologist/Archeaologist,Anthropologue/archéologue,
85,Anthropology,Anthropologie,
86,Antiguan scientists performs multilimb coordination like a human.,Des scientifiques antiguais ont mis au point un algorithme capable de coordonner plusieurs membres comme un humain.,
87,Apparel and Textile Manufacture,Fabrication de vêtements et de textiles,
88,Appliance Installation and Repair Technology/Technician,Technologie/Technicien d'installation et de réparation d'appareils électroménagers,
89,Applications Software Developer,Développeur de logiciels d'applications,
90,"Applied Horticulture/Horticulture Operations, General","Horticulture appliquée/Opérations horticoles, en général","Horticulture appliquée/opérations horticoles, général"
91,Apr,Avr,
92,Arbitrator,Arbitre,
93,Architect,Architecte,
94,Architectural And Engineering Manager,Directeur de l'architecture et de l'ingénierie,
95,Architectural Drafter,Dessinateur en architecture,Dessinateur d'architecture
96,Architecture,Architecture,
97,Archivist,Archiviste,
98,Arm-Hand Steadiness,Stabilité du bras et de la main,
99,Art Director,Directeur artistique,
100,"Art History, Criticism and Conservation","Histoire, critique et conservation de l'art","Histoire de l'art, critique et conservation "
101,"Art/Art Studies, General","Études artistiques, en général","Études Artistiques/Art, Général"
102,"Artist, Performer, And Athlete Agent","Agent pour artistes, artistes-interprètes et athlètes","Artiste, acteur et agent d'athlètes"
103,Artistic,Artistique,
104,Arts and Humanities,Arts et sciences humaines,
105,"Arts, Entertainment, and Recreation","Arts, spectacles et loisirs","Arts, divertissements et loisirs"
106,Assisting and Caring for Others,Aider et prendre soin des autres,
107,Astronomer,Astronome,
108,Astronomy,Astronomie,
109,Athlete,Athlète,
110,Athletic Trainer,Entraîneur d'athlètes,
111,Athletic Training/Trainer,Entraînement/entraîneur sportif,Entraîneur/Entraînement sportif
112,"Atmospheric Sciences and Meteorology, General","Sciences de l'atmosphère et météorologie, en général","Sciences de l'atmosphère et de la météorologie, Général"
113,Atmospheric Scientist,Scientifique de l'atmosphère,
114,Audio And Video Equipment Technician,Technicien d'équipement audio et vidéo,
115,Audiologist,Audiologiste,
116,Audiology/Audiologist and Speech-Language Pathology/Pathologist,Audiologiste et orthophoniste,Audiologie/Audiologue et orthophoniste
117,Auditory Attention,Attention auditive,
118,Aug,Aoû,
119,Australian scientists performs depth perception like a human.,Des scientifiques australiens ont mis au point un algorithme capable de percevoir la profondeur comme un être humain.,
120,Austrian researchers pioneered a new technique in mechanical today.,"Aujourd'hui, des scientifiques autrichiens ont mis au point une nouvelle technique en matière de mécanique.",
121,Auto Insurance Appraiser,Évaluateur d'assurance automobile,
122,Autobody/Collision and Repair Technology/Technician,Technologie/Technicien de carrosserie/collision et de réparation,
123,Automobile/Automotive Mechanics Technology/Technician,Technologie/Technicien en automobile/mécanique automobile,
124,Automotive And Watercraft Service Attendant,Préposé à l'entretien des automobiles et des embarcations,
125,Automotive Body Repairer,Réparateur de carrosserie automobile,
126,Automotive Glass Installer/Repairer,Installateur/réparateur de vitres d'automobile,
127,Automotive Mechanic,Mécanicien automobile,
128,Avionics Maintenance Technology/Technician,Technologie de maintenance avionique/technicien en avionique,Technologie/technicien de maintenance avionique
129,Avionics Technician,Technicien en avionique,
130,Azeri engineers unveiled an algorithm capable of gross body equilibrium.,Des ingénieurs azéris ont dévoilé un algorithme capable d'un équilibre corporel global.,
131,Baggage Porter,Porteur de bagages,
132,Bahamian researchers performs spend time standing like a human.,Des chercheurs des Bahamas ont mis au point un système capable de se tenir debout comme un humain.,
133,Bahraini engineers performs hearing sensitivity like a human.,Des ingénieurs bahreïni ont mis au point un algorithme capable de faire preuve d'une sensibilité auditive comme un humain.,Des ingénieurs bahreïni ont mis au point un algorithme capable d'une sensibilité auditive comme un humain.
134,Bailiff,Huissier de justice,
135,Baker,Boulanger,
136,Baking and Pastry Arts/Baker/Pastry Chef,Arts de la boulangerie et de la pâtisserie/Boulanger/Chef pâtissier,
137,Banking and Financial Support Services,Services bancaires et financiers,Services d'assistance bancaire et financière
138,Barber,Barbier,
139,Barbering/Barber,Barbier,Coiffure/barbier
140,Bartender,Barman,
141,Bartending/Bartender,Barman,Services de bar / barman
142,Basotho researchers performs spend time making repetitive motions like a human.,Des chercheurs basothos ont mis au point un algorithme capable de produire des mouvements répétitifs comme un humain.,
143,Being competitive,Être compétitif,
144,Being exact or accurate,Être exact ou précis,
145,Being responsible for others' health and safety,Être responsable de la santé et de la sécurité des autres,
146,Being responsible for outcomes,Être responsable des résultats,
147,Belizean scientists unveiled an algorithm capable of auditory attention.,Des scientifiques béliziens ont dévoilé un algorithme capable d'attirer l'attention d'un public.,Des scientifiques béliziens ont dévoilé un algorithme capable d'une attention auditive.
148,Bending and twisting the body,Plier et tordre son corps,Plier et tordre le corps
149,Bible/Biblical Studies,Études bibliques,Études bibliques/Bible
150,Bicycle Repairer,Réparateur de vélos,
151,Bill And Account Collector,Percepteur de factures et de comptes,Collecteur de factures et de comptes
152,Billing Clerk,Commis à la facturation,
153,Biochemist/Biophysicist,Biochimiste/biophysicien,
154,Biochemistry,Biochimie,
155,Bioengineering and Biomedical Engineering,Génie biomédical,Bioingénierie et génie biomédical
156,Biological Scientist,Biologiste,
157,Biological Technician,Biotechnicien,
158,Biology,Biologie,
159,Biology Technician/Biotechnology Laboratory Technician,Technicien en biologie/technicien de laboratoire en biotechnologie,Biotechnicien/technicien de laboratoire de biotechnologie
160,"Biology/Biological Sciences, General","Biologie/sciences biologiques, en général","Biologie/sciences biologiques, Général"
161,Biomedical Engineer,Ingénieur biomédical,
162,Biomedical Technology/Technician,Technologie biomédicale/technicien en biomédecine,
163,Blasting/Blaster,Explosion à l'explosif,Explosion/explosif
164,Boiler Operator,Opérateur de chaudière,
165,Boilermaker,Chaudronnier,
166,Boilermaking/Boilermaker,Chaudronnerie/Chaudronnier,
167,Booth Cashier,Caissier de kiosque,
168,Bosnian scientists unveiled an algorithm capable of deal with external customers.,Des scientifiques bosniaques ont dévoilé un algorithme capable de gérer des clients externes.,
169,Bouvet Island scientists performs time sharing like a human.,Des scientifiques de l'île Bouvet ont mis au point un algorithme capable d'exécuter partage du temps comme un humain.,Des scientifiques de l'île Bouvet ont mis au point un algorithme capable de partager du temps comme un humain.
170,Bouvet Island scientists pioneered a new technique in physical proximity today.,"Aujourd'hui, des scientifiques de l'île Bouvet ont mis au point une nouvelle technique en matière de proximité physique.",
171,Brazilian scientists pioneered a new technique in exposed to high places today.,"Aujourd'hui, des scientifiques brésiliens ont mis au point une nouvelle technique en matière d'exposition à des endroits élevés.",
172,Brickmason,Briqueteur-maçon,
173,Bridge And Lock Tenders,Pontier et éclusier,
174,British Virgin Island engineers pioneered a new technique in quality control analysis today.,"Aujourd'hui, des ingénieurs des îles Vierges britanniques ont mis au point une nouvelle technique en matière d'analyse du contrôle de la qualité.",
175,"British engineers performs inspecting equipment, structures, or material like a human.","Des ingénieurs cambodgiens ont mis au point un algorithme capable d'inspecter des équipements, des structures ou du matériel comme un humain.","Des ingénieurs britanniques ont mis au point un algorithme capable d'inspecter des équipements, des structures ou du matériel comme un humain."
176,British scientists pioneered a new technique in building and construction today.,"Aujourd'hui, des scientifiques britanniques ont mis au point une nouvelle technique dans le secteur du bâtiment et de la construction.","Aujourd'hui, des scientifiques britanniques ont mis au point une nouvelle technique de construction."
177,British scientists unveiled an algorithm capable of very hot or cold temperatures.,Des scientifiques britanniques ont dévoilé un algorithme capable de fonctionner à des températures très chaudes ou très froides.,
178,Broadcast News Analyst,Analyste de nouvelles radiodiffusées,Analyste des actualités radiodiffusées
179,Broadcast Technician,Technicien en radiodiffusion,
180,Brokerage Clerk,Commis au courtage,
181,Bruneian scientists pioneered a new technique in time pressure today.,"Aujourd'hui, des scientifiques brunéiens ont mis au point une nouvelle technique capable de gérer la pression du temps.",
182,Budget Analyst,Analyste du budget,
183,Building and Construction,Bâtiment et construction,
184,Building/Construction Site Management/Manager,Gestionnaire/directeur de chantier de construction/bâtiment,Gestion/chef de chantier de construction/bâtiment
185,Building/Home/Construction Inspection/Inspector,Inspection des bâtiments/maisons/travaux de construction,Inspection/inspecteur de construction des bâtiments/maisons
186,Building/Property Maintenance,Entretien des bâtiments et des biens immobiliers,Entretien des bâtiments et des propriétés
187,"Burkinabé researchers performs indoors, not environmentally controlled like a human.","Des chercheurs burkinabés ont mis au point un système capable d'agir comme un humain à l'intérieur, et non dans un environnement contrôlé.",
188,Burmese researchers unveiled an algorithm capable of visual color discrimination.,Des chercheurs birmans ont dévoilé un algorithme capable de discriminer visuellement les couleurs.,
189,"Business Administration and Management, General","Administration et direction d'entreprises, en général",
190,Business Operations Specialist,Spécialiste des opérations commerciales,
191,Business and Management,Affaires et gestion,
192,Business/Office Automation/Technology/Data Entry,Affaires/automatisation de bureau/technologie/entrée de données,Technologie/entrée de données/automatisation de bureau/des Affaires
193,Butcher,Boucher,
194,Buyer,Acheteur,
195,Cabinetmaker,Ébéniste,
196,Cabinetmaking and Millwork,Ébénisterie et menuiserie,
197,Cafeteria Attendant,Préposé à la cafétéria,
198,Cafeteria Cook,Cuisinier de cafétéria,
199,Cambodian engineers performs dynamic strength like a human.,Des ingénieurs cambodgiens ont mis au point un algorithme capable de produire une force dynamique comme un humain.,Des ingénieurs cambodgiens ont mis au point un algorithme capable de force dynamique comme un humain.
200,Camera Operators,Opérateur de caméra,
201,Canadian engineers unveiled an algorithm capable of level of competition.,Des ingénieurs canadiens ont dévoilé un algorithme capable d'un niveau de compétition.,
202,Cardiovascular Technologist,Technologue en soins cardiovasculaires,Technologue cardiovasculaire
203,Cardiovascular Technology/Technologist,Technologie/Technologue en soins cardiovasculaires,Des ingénieurs cambodgiens ont mis au point un algorithme capable de produire une force dynamique comme un humain.
204,Cargo And Freight Agent,Agent d'expédition et de fret,
205,Carpenter,Charpentier,Menuisier
206,Carpenter Helper,Assistant menuisier,
207,Carpentry/Carpenter,Charpente/charpentiers,Menuiserie/Menuisier
208,Carpet Installer,Poseur de moquette,
209,"Carpet, Floor, and Tile Worker","Poseur de moquette, de plancher et de carrelage",
210,Cartographer,Cartographe,
211,Cashier,Caissier,
212,Casino Management,Gestion de casinos,
213,Category Flexibility,Flexibilité des catégories,
214,Cement Masons And Concrete Finisher,Maçon cimentier et finisseur de béton,
215,Central African engineers pioneered a new technique in sound localization today.,"Aujourd'hui, des ingénieurs centrafricains ont mis au point une nouvelle technique en matière de localisation sonore.","Aujourd'hui, des ingénieurs centrafricains ont mis au point une nouvelle technique de localisation sonore."
216,Chef,Chef cuisinier,
217,Chemical Engineer,Ingénieur chimiste,
218,Chemical Engineering,Génie chimique,
219,Chemical Equipment Operator,Opérateur d'équipement chimique,
220,Chemical Plant Operator,Opérateur d'usine de produits chimiques,
221,Chemical Technician,Technicien en chimie,Technicien chimiste
222,Chemical Technology/Technician,Technologie/technicien chimique,
223,Chemist,Chimiste,
224,Chemistry,Chimie,
225,"Chemistry, General","Chimie, en général",
226,Chief Executive,Directeur général,
227,Child Care Provider/Assistant,Prestataire de services de garde/assistante en services de garde d'enfants,Prestataire/assistant de garde d'enfants
228,Child Development,Développement de l'enfant,Développement d'enfants
229,Childcare Worker,Assistante maternelle,Travailleur de garde d'enfants
230,Chinese scientists unveiled an algorithm capable of spend time keeping or regaining balance.,Des scientifiques chinois ont dévoilé un algorithme capable de garder ou retrouver l'équilibre.,
231,Chiropractic,Chiropratique,
232,Chiropractor,Chiropraticien,
233,Choreographer,Chorégraphe,
234,Christmas Island scientists performs consequence of error like a human.,Des scientifiques de l'île Christmas ont mis au point un algorithme capable d'agir comme un humain face aux conséquences d'une erreur.,
235,Christmas Island scientists performs transportation like a human.,Des scientifiques de l'île Christmas ont mis au point un algorithme capable d'effectuer un transport comme un humain.,
236,Cinematography and Film/Video Production,Production cinématographique et production de films et de vidéos,Production cinématographique et de films/vidéos
237,"City/Urban, Community and Regional Planning","Planification urbaine, municipale et régionale",
238,Civil Engineer,Ingénieur civil,
239,"Civil Engineering, General","Génie civil, en général",
240,Civil Technician,Technicien civil,
241,Claims Investigator,Enquêteur sur les réclamations,
242,Clergy,Membre du clergé,Clergé
243,Clerical,Commis de bureau,Clérical 
244,Clerical Library Assistant,Bibliothécaire administratif adjoint,Assistant bibliothécaire clérical
245,"Climbing ladders, scaffolds, and poles","Monter des échelles, des échafaudages et des poteaux",
246,Clinical Laboratory Science/Medical Technology/Technologist,Science de laboratoire clinique/Technologie médicale/Technicien,
247,Clinical Psychologist,Psychologue clinique,
248,Clinical/Medical Laboratory Technician,Technicien de laboratoire clinique et médical,
249,Coach/Scout,Coach/scout,Entraîneur/scout
250,Coaching and Developing Others,Coaching et développement des autres,
251,Coating/Spraying Machine Operator,Opérateur de machine de revêtement/pulvérisation,
252,Cocos Island engineers performs extremely bright or inadequate lighting like a human.,Des ingénieurs des Îles Cocos ont mis au point une technique capable de produire un éclairage extrêmement brillant ou inadéquat comme un humain.,Des ingénieurs des Îles Cocos ont mis au point une technique capable de fonctionner dans un éclairage extrêmement brillant ou inadéquat comme un humain.
253,Cognitive Abilities,Capacités cognitives,
254,Coil Winder,Enrouleuse de bobines,
255,Commercial Diver,Plongeur commercial,
256,Commercial Pilot,Pilote commercial,
257,Communicating with Persons Outside Organization,Communiquer avec des personnes à l'extérieur de l'organisation,
258,"Communicating with Supervisors, Peers, or Subordinates","Communiquer avec les superviseurs, les pairs ou les subalternes","Communiquer avec les superviseurs, les pairs ou les subordonnés"
259,Communications,Communications,
260,Communications Systems Installation and Repair Technology,Technologie d'installation et de réparation des systèmes de communication,
261,Communications and Media,Communications et médias,
262,Community Health Worker,Agent de santé communautaire,Travailleur de santé publique
263,Community Organization and Advocacy,Organisation communautaire et défense des droits,
264,Comorian researchers pioneered a new technique in on-the-job training today.,"Aujourd'hui, des chercheurs comoriens ont mis au point une nouvelle technologie de formation pratique sur le terrain.","Aujourd'hui, des chercheurs comoriens ont mis au point une nouvelle technique de formation pratique sur le terrain."
265,Compensation And Benefits Manager,Gestionnaire de la rémunération et des avantages sociaux,Gestionnaire de la rémunération et des avantages
266,Complex Problem Solving,Résolution de problèmes complexes,
267,Complex Problem Solving Skills,Compétences de résolution de problèmescomplexes,Compétences de résolution de problèmes complexes
268,Compliance Officer,Agent de conformité,
269,Computer And Information Systems Manager,Responsable Informatique et Systèmes d'Information,Responsable de Systèmes d'Information et d'Informatique 
270,"Computer Engineering, General","Génie informatique, en général",
271,Computer Hardware Engineer,Ingénieur en matériel informatique,
272,Computer Installation and Repair Technology/Technician,Technologie/Technicien d'installation et de réparation d'ordinateurs,
273,Computer Network Architect,Architecte de réseaux informatiques,
274,Computer Network Support Specialist,Spécialiste en assistance des réseaux informatiques,
275,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist,Machiniste à commande numérique par ordinateur (CNC),Machiniste à commande numérique par ordinateur (CNC) Machinist Technology/CNC Machinist
276,Computer Operator,Opérateur informatique,
277,Computer Programmer,Programmeur informatique,
278,Computer Repairer,Réparateur d'ordinateurs,
279,Computer Science,Informatique,
280,Computer Scientist,Informaticien,
281,Computer Support Specialist,Spécialiste du soutien informatique,Spécialiste d'assistance informatique
282,Computer Systems Analyst,Analyste de systèmes informatiques,
283,Computer Technician,Technicien en informatique,
284,Computer User Support Specialist,Spécialiste en assistance aux utilisateurs informatiques,
285,"Computer and Information Sciences, General","Informatique et sciences de l'information, en général","Sciences Informatiques et de l'information, en général"
286,Computer-Controlled Machine Tool Operator,Opérateur de machines-outils commandées par ordinateur,
287,Computer-Controlled Machine Tool Programmer,Programmeur de machines-outils commandées par ordinateur,
288,Computers and Electronics,Ordinateurs et électroniques,
289,Concierge,Concierge,
290,Concrete Finishing/Concrete Finisher,Finition du béton/Finisseur de béton,
291,Conservation Scientist,Expert scientifique en conservation,Scientifique en conservation
292,Conservation Technician,Technicien en restauration,Technicien en conservation
293,Construction,Construction,
294,Construction Engineer,Ingénieur en construction,
295,Construction Engineering Technology/Technician,Technologie/Technicien du génie de la construction,
296,Construction Laborer,Ouvrier en construction,
297,Construction Manager,Directeur de la construction,Directeur de construction
298,Construction Painter,Peintre en bâtiment,Peintre de construction
299,Construction Trade Supervisor,Surveillant des métiers de la construction,
300,Construction Worker,Ouvrier de la construction,
301,Construction/Building Inspector,Inspecteur en construction et en bâtiments,Inspecteur de construction et de bâtiments
302,Construction/Heavy Equipment/Earthmoving Equipment Operation,Construction/Équipement lourd/Fonctionnement de l'équipement de terrassement,
303,Contact With Others,Contact avec d'autres,Contact avec les autres
304,Content,Contenu,
305,Continuous Mining Machine Operator,Opérateur de machine d'extraction minière en continu,Opérateur de machine minière en continu
306,Control And Valve Installer/Repairer,Installateur/réparateur de commandes et de vannes,
307,Control Precision,Précision du contrôle,
308,Controlling Machines and Processes,Contrôle des machines et des processus,
309,Conventional,Conventionnel,
310,Conveyor Operator,Opérateur de convoyeurs,
