,en,es,correction
38,Administration and Management,Administración y gestión,
39,Administrative Assistant,Asistente de administración,
40,"Administrative Assistant and Secretarial Science, General","Ciencias de asistencia administrativa y secretariado, general",Ciencias Generales de asistencia administrativa y secretarial
41,Administrative Services Manager,Director de servicios administrativos,
42,Administrative Support Supervisor,Supervisor de soporte administrativo,
43,Administrative and Support Services,Servicios de administración y soporte,
44,Adult Education Teacher,Profesor de educación para adultos,
45,Adult and Continuing Education and Teaching,Educación y formación para adultos y continuada,Formación de adultos y educación continuada
46,Advertising Manager,Director de publicidad,
47,Advertising Sales Agent,Agente de ventas de publicidad,
48,Aeronautical/Aerospace Engineering Technology/Technician,Tecnología/técnico de aeronáutica/ingeniería aeroespacial,Ingeniero tecnológico/técnico aeronáutico/aeroespacial
49,Aerospace Engineer,Ingeniero aeroespacial,
50,Aerospace Technician,Técnico aeroespacial,
51,Agricultural Engineer,Ingeniero agrícola,
52,Agricultural Engineering,Ingeniería agrícola,
53,Agricultural Equipment Operator,Operador de equipos agrícolas,
54,Agricultural Inspector,Inspector agrícola,
55,Agricultural Mechanics and Equipment/Machine Technology,Tecnología de maquinaria/equipamiento y mecánica de la agricultura,Mecánica agrícola y tecnología de equipamiento/maquinaria
56,Agricultural Power Machinery Operation,Operación de maquinaria agrícola,
57,Agricultural Product Grader,Clasificador de productos agrícolas,
58,Agricultural Teacher Education,Educación de profesor de agricultura,Formación de docentes agrícolas
59,Agricultural and Food Products Processing,Procesamiento de productos agrícolas y alimenticios,
60,Agricultural/Farm Supplies Retailing and Wholesaling,Suministros al por mayor y menor de productos agrícolas/para granjas,Venta al por menor y mayorista de suministros agrícolas/ del campo
61,Agricultural/Food Science Technician,Técnico en agricultura/ciencias de la alimentación,
62,"Agriculture, Forestry, Fishing, and Hunting","Agricultura, silvicultura, pesca y caza",
63,Agronomy and Crop Science,Agronomía y ciencia de los cultivos,
64,Air Traffic Controller,Controlador de tráfico aéreo,
65,Aircraft Cargo Handling Supervisor,Supervisor de manejo de cargas aéreas,
66,Aircraft Mechanic,Mecánico de aviones,
67,Aircraft Systems Assembler,Montador de sistemas para aviones,Ensamblador de sistemas para aeronaves
68,Airfield Operations Specialist,Especialista en operaciones en aeródromos,Especialista de operaciones en aeródromos
69,Airframe Mechanics and Aircraft Maintenance Technology/Technician,Tecnología/técnico de mecánica de fuselaje y de mantenimiento de aviones,Tecnología/técnico de mecánica de fuselaje y mantenimiento de aviones
70,Airline Flight Attendant,Auxiliar de vuelo de aerolínea,
71,Airline Pilot/Flight Engineer,Piloto de líneas aéreas/ingeniero de vuelo,
72,Airline/Commercial/Professional Pilot and Flight Crew,Piloto de líneas aéreas/comercial/profesional y tripulación,
73,Ambulance Driver,Conductor de ambulancias,
74,American scientists pioneered a new technique in control precision today.,Los científicos estadounidenses han desarrollado hoy una nueva técnica relacionada con la precisión de control.,
75,Amusement Attendant,Asistente de atracciones,
76,Analyzing data and information,Analizar datos e información,
77,Anesthesiologist,Anestesista,
78,Animal Control Worker,Trabajador de control de animales,
79,"Animal Sciences, General","Ciencias de animales, general",Zoología General
80,Animal Scientist,Científico de animales,Zoólogo
81,Animal Trainer,Entrenador de animales,
82,"Antarctic scientists pioneered a new technique in outdoors, exposed to weather today.",Los científicos de la Antártida han desarrollado hoy una nueva técnica relacionada con los espacios exteriores y la exposición al clima.,
83,Antarctic scientists unveiled an algorithm capable of night vision.,Los científicos de la Antártida han descubierto un algoritmo con visión nocturna.,Los científicos de la Antártida han descubierto un algoritmo que hace posible la visión nocturna.
84,Anthropologist/Archeaologist,Antropólogo/arqueólogo,
85,Anthropology,Antropología,
86,Antiguan scientists performs multilimb coordination like a human.,Un algoritmo de los ingenieros de Antigua actúa como un humano en cuanto a la coordinación de múltiples extremidades.,Un algoritmo de los ingenieros antiguanos realiza la coordinación de múltiples extremidades como un humano
87,Apparel and Textile Manufacture,Manufactura de vestimenta y productos textiles,
88,Appliance Installation and Repair Technology/Technician,Tecnología/técnico de instalación y reparación de electrodomésticos,
89,Applications Software Developer,Desarrollador de software para aplicaciones,
90,"Applied Horticulture/Horticulture Operations, General","Horticultura aplicada/operaciones de horticultura, general",Horticultura aplicada/operaciones de horticultura generales
91,Apr,Abr,
92,Arbitrator,Mediador,
93,Architect,Arquitecto,
94,Architectural And Engineering Manager,Director de arquitectura e ingeniería,
95,Architectural Drafter,Delineante,
96,Architecture,Arquitectura,
97,Archivist,Archivista,
98,Arm-Hand Steadiness,Estabilidad mano-brazo,Estabilidad brazo-mano
99,Art Director,Director de arte,
100,"Art History, Criticism and Conservation","Historia, crítica y conservación de arte","Historia, crítica y conservación del arte"
101,"Art/Art Studies, General","Arte/estudios de arte, general",Arte/estudios de arte generales
102,"Artist, Performer, And Athlete Agent","Agente para artistas, intérpretes y atletas","Agende de artistas, intérpretes,  y atletas"
103,Artistic,Artístico,Artísta
104,Arts and Humanities,Arte y humanidades,
105,"Arts, Entertainment, and Recreation","Arte, entretenimiento y ocio",
106,Assisting and Caring for Others,Asistencia y cuidado de otros,
107,Astronomer,Astrónomo,
108,Astronomy,Astronomía,
109,Athlete,Atleta,
110,Athletic Trainer,Entrenador de atletismo,
111,Athletic Training/Trainer,Entrenamiento de atletismo/entrenador,
112,"Atmospheric Sciences and Meteorology, General","Ciencias atmosféricas y meteorología, general",Ciencias atmosféricas y meteorología general
113,Atmospheric Scientist,Científico atmosférico,
114,Audio And Video Equipment Technician,Técnico de equipos de audio y vídeo,
115,Audiologist,Audiólogo,
116,Audiology/Audiologist and Speech-Language Pathology/Pathologist,Audiología/audiólogo y patología del habla y la lengua/logopeda,
117,Auditory Attention,Atención auditiva,
118,Aug,Ago,
119,Australian scientists performs depth perception like a human.,Un algoritmo de los ingenieros australianos actúa como un humano en cuanto a la percepción de profundidad.,
120,Austrian researchers pioneered a new technique in mechanical today.,Los investigadores austríacos han desarrollado hoy una nueva técnica relacionada con la mecánica.,
121,Auto Insurance Appraiser,Perito tasador de seguros,
122,Autobody/Collision and Repair Technology/Technician,Tecnología/técnico de colisión y reparación de vehículos,
123,Automobile/Automotive Mechanics Technology/Technician,Tecnología/técnico de mecánica de automoción/automóviles,
124,Automotive And Watercraft Service Attendant,Auxiliar de servicio de automoción y embarcaciones,
125,Automotive Body Repairer,Reparador de chasis de automoción,Reparador de carrocerías automotrices
126,Automotive Glass Installer/Repairer,Instalador/reparador de cristales de automoción,Instalador/reparador de cristales de automotor
127,Automotive Mechanic,Mecánico de automoción,Mecánico automotriz
128,Avionics Maintenance Technology/Technician,Tecnología/técnico de mantenimiento de aviones,Tecnología/técnico de mantenimiento aeroelectrónico
129,Avionics Technician,Técnico en aviónica,Técnico en aeroelectrónica
130,Azeri engineers unveiled an algorithm capable of gross body equilibrium.,Los ingenieros azeríes han descubierto un algoritmo capaz de mantener el equilibrio general del cuerpo.,Los ingenieros azeríes han descubierto un algoritmo capaz de imitar el equilibrio general del cuerpo.
131,Baggage Porter,Mozo de equipajes,
132,Bahamian researchers performs spend time standing like a human.,Un algoritmo de los investigadores de Bahamas actúa como un humano al pasar tiempo de pie.,Un algoritmo de los investigadores de bahameños es capaz de pasar tiempo de pie como un humano.
133,Bahraini engineers performs hearing sensitivity like a human.,Un algoritmo de los ingenieros de Baréin actúa como un humano en cuanto a sensibilidad auditiva.,Un algoritmo de los ingenieros de Baréin es capaz de percibir la sensibilidad auditiva como un humano.
134,Bailiff,Alguacil,
135,Baker,Panadero,
136,Baking and Pastry Arts/Baker/Pastry Chef,Panadería y pastelería arte/panadero/pastelero,
137,Banking and Financial Support Services,Servicios de soporte financieros y bancarios,
138,Barber,Barbero,
139,Barbering/Barber,Barbería/barbero,
140,Bartender,Barman,
141,Bartending/Bartender,Barman,
142,Basotho researchers performs spend time making repetitive motions like a human.,Un algoritmo de los investigadores basothos actúa como un humano al pasar tiempo haciendo movimientos repetitivos.,
143,Being competitive,Ser competitivo|,Ser competitivo
144,Being exact or accurate,Ser exacto o preciso,
145,Being responsible for others' health and safety,Ser responsable de la salud y la seguridad de otros,
146,Being responsible for outcomes,Ser responsable de los resultados,
147,Belizean scientists unveiled an algorithm capable of auditory attention.,Los científicos de Belice han descubierto un algoritmo capaz de prestar atención auditiva.,Los científicos beliceños han descubierto un algoritmo capaz de prestar atención auditiva.
148,Bending and twisting the body,Inclinar y retorcer el cuerpo,
149,Bible/Biblical Studies,Estudios bíblicos,
150,Bicycle Repairer,Reparador de bicicletas,
151,Bill And Account Collector,Cobrador de cuentas y facturas,
152,Billing Clerk,Empleado de facturación,Asistente de facturación
153,Biochemist/Biophysicist,Bioquímico/biofísico,
154,Biochemistry,Bioquímica,
155,Bioengineering and Biomedical Engineering,Bioingeniería e ingeniería biomédica,
156,Biological Scientist,Científico de biología,Científico de biológico
157,Biological Technician,Técnico en biología,Técnico bilógico
158,Biology,Biología,
159,Biology Technician/Biotechnology Laboratory Technician,Técnico en biología/técnico de laboratorios biotecnológicos,
160,"Biology/Biological Sciences, General","Biología/ciencias biológicas, general",Biología/ciencias biológicas generales
161,Biomedical Engineer,Ingeniero de biomedicina,Ingeniero biomédico
162,Biomedical Technology/Technician,Tecnología/técnico en biomedicina,Tecnología/técnico biomédico
163,Blasting/Blaster,Chorreadora/chorreador,Dinamitero
164,Boiler Operator,Operador de calderas,
165,Boilermaker,Fabricante de calderas,
166,Boilermaking/Boilermaker,Fabricación de calderas/calderero,Fabricación de calderas
167,Booth Cashier,Cajero de taquilla,
168,Bosnian scientists unveiled an algorithm capable of deal with external customers.,Los científicos bosnios han descubierto un algoritmo capaz de tratar con clientes externos.,
169,Bouvet Island scientists performs time sharing like a human.,Un algoritmo de los científicos de la isla Bouvet actúa como un humano en cuanto a compartir tiempo.,Un algoritmo de los científicos de la Isla Bouvet es capaz de compartir el tiempo como un humano
170,Bouvet Island scientists pioneered a new technique in physical proximity today.,Los investigadores de la isla Bouvet han desarrollado hoy una nueva técnica relacionada con la proximidad física.,Los investigadores de la Isla Bouvet han desarrollado hoy una nueva técnica relacionada con la proximidad física.
171,Brazilian scientists pioneered a new technique in exposed to high places today.,Los científicos brasileños han desarrollado hoy una nueva técnica relacionada con la exposición a lugares elevados.,
172,Brickmason,Albañil,
173,Bridge And Lock Tenders,Licitaciones de puentes y esclusas,
174,British Virgin Island engineers pioneered a new technique in quality control analysis today.,Los ingenieros de las Islas Vírgenes Británicas han desarrollado hoy una nueva técnica relacionada con los análisis de control de calidad.,
175,"British engineers performs inspecting equipment, structures, or material like a human.","Un algoritmo de los ingenieros británicos actúa como un humano al inspeccionar equipos, estructuras y materiales.",
176,British scientists pioneered a new technique in building and construction today.,Los científicos británicos han desarrollado hoy una nueva técnica relacionada con la edificación y construcción.,
177,British scientists unveiled an algorithm capable of very hot or cold temperatures.,Los científicos británicos han descubierto un algoritmo capaz de aguantar temperaturas muy altas o bajas.,Los científicos británicos han descubierto un algoritmo capaz de soportar temperaturas muy altas o bajas.
178,Broadcast News Analyst,Analista de noticias de radiodifusión,Analista de noticias de radiodifusión
179,Broadcast Technician,Técnico en radiodifusión,Técnico en difusión
180,Brokerage Clerk,Corredor de inversiones,
181,Bruneian scientists pioneered a new technique in time pressure today.,Los científicos de Brunéi han desarrollado hoy una nueva técnica relacionada con la presión del tiempo.,Los científicos bruneanos han desarrollado hoy una nueva técnica relacionada con la presión del tiempo.
182,Budget Analyst,Analista de presupuestos,
183,Building and Construction,Edificación y construcción,
184,Building/Construction Site Management/Manager,Dirección/director de edificación/construcción,
185,Building/Home/Construction Inspection/Inspector,Inspección/inspector de edificios/viviendas/construcción,Inspección/inspector de edificios/viviendas/construcciones
186,Building/Property Maintenance,Mantenimiento de edificios/propiedades,
187,"Burkinabé researchers performs indoors, not environmentally controlled like a human.",Un algoritmo de los investigadores de Burkinab√© actúa como un humano en interiores con ambiente no controlado.,Un algoritmo de los investigadores burkineses actúa en interiores con ambiente no controlado como un humano
188,Burmese researchers unveiled an algorithm capable of visual color discrimination.,Los investigadores birmanos han descubierto un algoritmo con discriminación visual del color.,
189,"Business Administration and Management, General","Administración y dirección empresarial, general",Administración y dirección empresarial general
190,Business Operations Specialist,Especialista en operaciones comerciales,
191,Business and Management,Comercio y administración,
192,Business/Office Automation/Technology/Data Entry,Automatización de negocios/oficinas/tecnología/entrada de datos,
193,Butcher,Carnicero,
194,Buyer,Comprador,
195,Cabinetmaker,Ebanista,
196,Cabinetmaking and Millwork,Ebanistería y carpintería,
197,Cafeteria Attendant,Encargado de cafetería,
198,Cafeteria Cook,Cocinero de cafetería,
199,Cambodian engineers performs dynamic strength like a human.,Un algoritmo de los ingenieros de Camboya actúa como un humano en cuanto a fuerza dinámica.,Un algoritmo de los ingenieros de camboyanos actúa como un humano en cuanto a fuerza dinámica.
200,Camera Operators,Operador de cámara,
201,Canadian engineers unveiled an algorithm capable of level of competition.,Los ingenieros canadienses han descubierto un algoritmo capaz de mejorar el nivel de competición.,
202,Cardiovascular Technologist,Técnico cardiovascular,
203,Cardiovascular Technology/Technologist,Tecnología/tecnólogo cardiovascular,
204,Cargo And Freight Agent,Agente de carga y mercancía,
205,Carpenter,Carpintero,
206,Carpenter Helper,Ayudante de carpintero,
207,Carpentry/Carpenter,Carpintería/carpintero,
208,Carpet Installer,Instalador de moquetas,Instalador de alfombras
209,"Carpet, Floor, and Tile Worker","Instalador de alfombras, suelos y losetas","Instalador de alfombras, suelos y azulejos"
210,Cartographer,Cartógrafo,
211,Cashier,Cajero,
212,Casino Management,Dirección de casinos,
213,Category Flexibility,Flexibilidad de la categoría,
214,Cement Masons And Concrete Finisher,Albañil de cemento y técnico de hormigón,
215,Central African engineers pioneered a new technique in sound localization today.,Los ingenieros de África Central han desarrollado hoy una nueva técnica relacionada con la localización del sonido.,Los ingenieros de centroafricanos han desarrollado hoy una nueva técnica relacionada con la localización del sonido.
216,Chef,Cocinero,
217,Chemical Engineer,Ingeniero químico,
218,Chemical Engineering,Ingeniería química,
219,Chemical Equipment Operator,Operador de equipos químicos,
220,Chemical Plant Operator,Operador de plantas químicas,
221,Chemical Technician,Técnico en química,
222,Chemical Technology/Technician,Tecnología/técnico químico,
223,Chemist,Químico,
224,Chemistry,Química,
225,"Chemistry, General","Química, general",Química general
226,Chief Executive,Ejecutivo jefe,Director ejecutivo
227,Child Care Provider/Assistant,Proveedor/asistente de cuidados de niños,Cuidador/asistente de cuidados infantiles
228,Child Development,Desarrollo infantil,
229,Childcare Worker,Trabajador para el cuidado de los niños,Trabajador de cuidado infantil
230,Chinese scientists unveiled an algorithm capable of spend time keeping or regaining balance.,Los científicos chinos han descubierto un algoritmo capaz de pasar tiempo manteniendo y recuperando el equilibrio.,
231,Chiropractic,Quiropráctica,
232,Chiropractor,Quiropráctico,
233,Choreographer,Coreógrafo,
234,Christmas Island scientists performs consequence of error like a human.,Un algoritmo de los científicos de Isla de Navidad actúa como un humano en cuanto a las consecuencias de los errores.,
235,Christmas Island scientists performs transportation like a human.,Un algoritmo de los científicos de Isla de Navidad actúa como un humano en cuanto a transporte.,Un algoritmo de los científicos de Isla de Navidad realiza el transporte como un humano.
236,Cinematography and Film/Video Production,Cinematografía y producción de películas y vídeos,"Producción de cinematografía, películas y vídeos"
237,"City/Urban, Community and Regional Planning","Planificación de ciudades/urbana, comunal y regional",
238,Civil Engineer,Ingeniero civil,
239,"Civil Engineering, General","Ingeniería civil, general",
240,Civil Technician,Técnico civil,
241,Claims Investigator,Investigador de reclamaciones,
242,Clergy,Clérigo,Clero
243,Clerical,Oficinista,Clérigo
244,Clerical Library Assistant,Asistente de librería clerical,
245,"Climbing ladders, scaffolds, and poles","Subir escaleras, andamios y postes",
246,Clinical Laboratory Science/Medical Technology/Technologist,"Ciencias de laboratorios clínicos, tecnología/técnico en medicina",Ciencia/tecnología/tecnología médica de laboratorios clínicos
247,Clinical Psychologist,Psicólogo clínico,
248,Clinical/Medical Laboratory Technician,Técnico de laboratorios clínicos/médicos,
249,Coach/Scout,Entrenador/cazatalentos,
250,Coaching and Developing Others,Desarrollar y orientar a otros,
251,Coating/Spraying Machine Operator,Operador de máquinas de revestimiento/pulverizado,
252,Cocos Island engineers performs extremely bright or inadequate lighting like a human.,Un algoritmo de los ingenieros de Isla del Coco actúa como un humano ante una iluminación extremadamente brillante o inadecuada.,
253,Cognitive Abilities,Habilidades cognitivas,
254,Coil Winder,Devanador de bobinas,Bobinador
255,Commercial Diver,Buzo comercial,
256,Commercial Pilot,Piloto comercial,
257,Communicating with Persons Outside Organization,Comunicación con personas ajenas a la organización,
258,"Communicating with Supervisors, Peers, or Subordinates","Comunicación con supervisores, iguales o subordinados",
259,Communications,Comunicaciones,
260,Communications Systems Installation and Repair Technology,Tecnología de instalación y reparación de sistemas de comunicación,
261,Communications and Media,Comunicaciones y medios,
262,Community Health Worker,Trabajador de salud comunitaria,
263,Community Organization and Advocacy,Organización y abogacía comunal,
264,Comorian researchers pioneered a new technique in on-the-job training today.,Los investigadores comorenses han desarrollado hoy una nueva técnica relacionada con la formación en el lugar de trabajo.,
265,Compensation And Benefits Manager,Director de compensaciones y beneficios,
266,Complex Problem Solving,Resolución de problemas complejos,
267,Complex Problem Solving Skills,Habilidades de resolución de problemas complejos,
268,Compliance Officer,Responsable de cumplimiento,
269,Computer And Information Systems Manager,Administrador de sistemas informáticos y de información,Administrador de sistemas informáticos
270,"Computer Engineering, General","Ingeniería informática, general",Ingeniería informática general
271,Computer Hardware Engineer,Ingeniero de hardware para ordenadores,
272,Computer Installation and Repair Technology/Technician,Tecnología/técnico de instalación y reparación de ordenadores,
273,Computer Network Architect,Arquitecto de redes informáticas,
274,Computer Network Support Specialist,Especialista en soporte de redes informáticas,
275,Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist,Tecnología de máquina CNC (computadoras de control numérico)/maquinista CNC,
276,Computer Operator,Operador de ordenadores,
277,Computer Programmer,Programador informático,
278,Computer Repairer,Reparador de ordenadores,
279,Computer Science,Ciencias informáticas,
280,Computer Scientist,Experto informático,
281,Computer Support Specialist,Especialista en soporte informático,
282,Computer Systems Analyst,Analista de sistemas informáticos,
283,Computer Technician,Técnico informático,
284,Computer User Support Specialist,Especialista en soporte para usuarios de ordenadores,
285,"Computer and Information Sciences, General","Ciencias informáticas y de información, general",Ciencias informáticas generales
286,Computer-Controlled Machine Tool Operator,Operador de máquinas herramienta controladas por ordenador,Operador de máquinas y herramientas controladas por ordenador
287,Computer-Controlled Machine Tool Programmer,Programador de máquinas herramienta controladas por ordenador,Programador de máquinas y herramientas controladas por ordenador
288,Computers and Electronics,Ordenadores y electrónica,
289,Concierge,Conserje,
290,Concrete Finishing/Concrete Finisher,Acabados de hormigón/técnico de hormigón,
291,Conservation Scientist,Científico de la conservación,
292,Conservation Technician,Técnico en conservación,
293,Construction,Construcción,
294,Construction Engineer,Ingeniero de la construcción,
295,Construction Engineering Technology/Technician,Tecnología/técnico de ingeniería de la construcción,
296,Construction Laborer,Obrero de la construcción,
297,Construction Manager,Director de construcción,
298,Construction Painter,Pintor de la construcción,
299,Construction Trade Supervisor,Supervisor del área de construcción,
300,Construction Worker,Trabajador de la construcción,
301,Construction/Building Inspector,Inspector de construcción/edificios,Inspector de construcción/obras
302,Construction/Heavy Equipment/Earthmoving Equipment Operation,Operación de equipos de la construcción/pesados/de movimiento de tierras,Operación de equipos de construcción/pesados/ para movimiento de tierras
303,Contact With Others,Contacto con otros,
304,Content,Contenido,
305,Continuous Mining Machine Operator,Operador de máquinas de minería continua,
306,Control And Valve Installer/Repairer,Instalador/reparador de controles y válvulas,
307,Control Precision,Precisión de control,
308,Controlling Machines and Processes,Controlar máquinas y procesos,
309,Conventional,Convencional,
310,Conveyor Operator,Operador de cinta de transporte,
311,Cooling/Freezing Equipment Operator,Operador de equipos de refrigeración/congelación,
312,Coordinating the Work and Activities of Others,Coordinar el trabajo y las actividades de otros,
313,Coordination,Coordinación,
314,Coordination and leading others,Coordinar y liderar a otros,
